ranking_name,judge_model,prompt_template,rank,metric_column,metric_value
primary_scotts_pi,k_exaone_236b_a23b_tuned,guideline_with_examples,1,scotts_pi,0.6844559095636201
percent_agreement,k_exaone_236b_a23b_tuned,guideline_with_examples,1,percent_agreement,0.8766778523489933
absolute_score_gap,k_exaone_236b_a23b_tuned,guideline_with_examples,1,score_delta,0.11157718120805371
false_positive_rate,k_exaone_236b_a23b_tuned,guideline_with_examples,1,fpr,0.027888446215139442
false_negative_rate,k_exaone_236b_a23b_tuned,guideline_with_examples,1,fnr,0.1487778958554729
precision,k_exaone_236b_a23b_tuned,guideline_with_examples,1,precision,0.9913366336633663
recall,k_exaone_236b_a23b_tuned,guideline_with_examples,1,recall,0.8512221041445271
f1,k_exaone_236b_a23b_tuned,guideline_with_examples,1,f1,0.9159519725557462
