judge_model,prompt_template,answer_source,judge_score,human_score,score_delta,percent_agreement,scotts_pi,precision,recall,f1,tp,fp,tn,fn,fpr,fnr,invalid_rate,valid_rate,avg_latency_ms,p50_latency_ms,p95_latency_ms,total_estimated_cost
k_exaone_236b_a23b_tuned,guideline_with_examples,chatgpt,0.6679841897233202,0.7905138339920948,-0.12252964426877466,0.8458498023715415,0.6096374102427156,0.9763313609467456,0.825,0.8943089430894308,165,4,49,35,0.07547169811320754,0.175,0.0,1.0,21468.098814229248,13525.0,68702.19999999998,0.4701352000000001
k_exaone_236b_a23b_tuned,guideline_with_examples,fid,0.6666666666666666,0.7468354430379747,-0.08016877637130804,0.919831223628692,0.8065929346075378,1.0,0.8926553672316384,0.9432835820895522,158,0,60,19,0.0,0.10734463276836158,0.004201680672268907,0.9957983193277311,15735.118143459915,6709.0,59281.19999999999,0.3128414
k_exaone_236b_a23b_tuned,guideline_with_examples,gpt35,0.6549019607843137,0.7333333333333333,-0.07843137254901955,0.9137254901960784,0.7968274663189917,0.9940119760479041,0.8877005347593583,0.9378531073446327,166,1,67,21,0.014705882352941176,0.11229946524064172,0.011627906976744186,0.9883720930232558,20565.419607843138,13478.0,61307.39999999997,0.45691000000000004
k_exaone_236b_a23b_tuned,guideline_with_examples,gpt4,0.7383177570093458,0.8598130841121495,-0.12149532710280375,0.8785046728971962,0.6216510267917855,1.0,0.8586956521739131,0.9239766081871346,158,0,30,26,0.0,0.14130434782608695,0.009259259259259259,0.9907407407407407,25005.448598130843,14597.5,77766.84999999999,0.43054780000000004
k_exaone_236b_a23b_tuned,guideline_with_examples,newbing,0.6695278969957081,0.8283261802575107,-0.15879828326180256,0.8240343347639485,0.5320941395439961,0.9871794871794872,0.7979274611398963,0.8825214899713467,154,2,38,39,0.05,0.20207253886010362,0.00851063829787234,0.9914893617021276,27797.92703862661,16942.0,89147.99999999994,0.5306792
