judge_model,prompt_template,human_label,judge_score,human_score,score_delta,percent_agreement,scotts_pi,precision,recall,f1,tp,fp,tn,fn,fpr,fnr,invalid_rate,valid_rate,avg_latency_ms,p50_latency_ms,p95_latency_ms,total_estimated_cost
gpt_4_1_mini,minimal,False,0.40551181102362205,0.0,0.40551181102362205,0.594488188976378,-0.2543209876543207,0.0,0.0,0.0,0,103,151,0,0.40551181102362205,0.0,0.0,1.0,1307.251968503937,1170.0,2094.85,0.030652000000000002
gpt_4_1_mini,minimal,True,0.9587737843551797,1.0,-0.04122621564482032,0.9587737843551797,-0.021046950890453223,1.0,0.9587737843551797,0.978953049109552,907,0,0,39,0.0,0.0412262156448203,0.0,1.0,1233.1247357293869,1099.5,1914.5,0.1214472
gpt_4_1_nano,minimal,False,0.7637795275590551,0.0,0.7637795275590551,0.23622047244094488,-0.6178343949044585,0.0,0.0,0.0,0,194,60,0,0.7637795275590551,0.0,0.0,1.0,920.4094488188977,810.0,1572.05,0.0071226
gpt_4_1_nano,minimal,True,0.9703703703703703,1.0,-0.029629629629629672,0.9703703703703703,-0.015037593984959432,1.0,0.9703703703703703,0.9849624060150376,917,0,0,28,0.0,0.02962962962962963,0.0010570824524312897,0.9989429175475687,889.0624338624339,765.0,1480.1999999999998,0.029328800000000002
gpt_5_4_mini,minimal,False,0.17716535433070865,0.0,0.17716535433070865,0.8228346456692913,-0.09719222462203138,0.0,0.0,0.0,0,45,209,0,0.17716535433070865,0.0,0.0,1.0,1093.6850393700788,962.5,1294.6499999999999,0.06945899999999999
gpt_5_4_mini,minimal,True,0.9630021141649049,1.0,-0.03699788583509511,0.9630021141649049,-0.018847603661819017,1.0,0.9630021141649049,0.9811523963381799,911,0,0,35,0.0,0.03699788583509514,0.0,1.0,991.4175475687103,904.0,1377.5,0.26636550000000003
gpt_5_4_nano,minimal,False,0.21653543307086615,0.0,0.21653543307086615,0.7834645669291339,-0.12141280353200833,0.0,0.0,0.0,0,55,199,0,0.21653543307086615,0.0,0.0,1.0,1117.6220472440946,1049.5,1559.45,0.020267
gpt_5_4_nano,minimal,True,0.9365750528541226,1.0,-0.06342494714587743,0.9365750528541226,-0.032751091703056644,1.0,0.9365750528541226,0.9672489082969432,886,0,0,60,0.0,0.06342494714587738,0.0,1.0,1122.3372093023256,1021.5,1613.5,0.0768708
