judge_model,prompt_template,judge_score,human_score,score_delta,percent_agreement,scotts_pi,precision,recall,f1,tp,fp,tn,fn,fpr,fnr,invalid_rate,valid_rate,avg_latency_ms,p50_latency_ms,p95_latency_ms,total_estimated_cost
gemma_3_12b,minimal,0.8740617180984154,0.7881567973311092,0.08590492076730616,0.8857381150959133,0.5929878029894756,0.8854961832061069,0.982010582010582,0.9312594079277472,928,120,134,17,0.47244094488188976,0.01798941798941799,0.0008333333333333334,0.9991666666666666,3898.025020850709,2996.0,9386.699999999993,0.0
gemma_3_27b,minimal,0.7891666666666667,0.7883333333333333,0.0008333333333333526,0.9225,0.7674396796669137,0.9503695881731784,0.9513742071881607,0.9508716323296355,900,47,207,46,0.18503937007874016,0.048625792811839326,0.0,1.0,2100.05,2051.0,2721.4999999999995,0.0
gemma_4_26b,minimal,0.8018471872376155,0.7926112510495382,0.009235936188077276,0.9420654911838791,0.8208079440306928,0.9581151832460733,0.9692796610169492,0.9636650868878357,915,40,207,29,0.16194331983805668,0.03072033898305085,0.0075,0.9925,8555.292191435768,6554.0,16794.0,0.0
gemma_4_31b,minimal,0.8104693140794224,0.7906137184115524,0.019855595667869985,0.9332129963898917,0.7908655440321998,0.9465478841870824,0.9703196347031964,0.9582863585118377,850,48,184,26,0.20689655172413793,0.02968036529680365,0.07666666666666666,0.9233333333333333,8688.455776173285,7313.5,16338.549999999996,0.0
