judge_model,prompt_template,golden_answer_alias_count,judge_score,human_score,score_delta,percent_agreement,scotts_pi,precision,recall,f1,tp,fp,tn,fn,fpr,fnr,invalid_rate,valid_rate,avg_latency_ms,p50_latency_ms,p95_latency_ms,total_estimated_cost
gemma_3_12b,minimal,24,0.75,0.625,0.125,0.875,0.7090909090909091,0.8333333333333334,1.0,0.9090909090909091,5,1,2,0,0.3333333333333333,0.0,0.0,1.0,5328.75,4628.5,10765.999999999996,0.0
gemma_3_12b,minimal,25,0.8,0.8,0.0,1.0,1.0,1.0,1.0,1.0,4,0,1,0,0.0,0.0,0.0,1.0,2799.2,2471.0,3999.2,0.0
gemma_3_12b,minimal,26,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,4,0,0,0,0.0,0.0,0.0,1.0,2850.0,2679.5,3640.6,0.0
gemma_3_12b,minimal,27,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,11,0,0,0,0.0,0.0,0.0,1.0,3398.4545454545455,3331.0,5702.0,0.0
gemma_3_12b,minimal,28,1.0,0.9285714285714286,0.0714285714285714,0.9285714285714286,-0.03703703703703835,0.9285714285714286,1.0,0.962962962962963,13,1,0,0,1.0,0.0,0.0,1.0,3847.6428571428573,3231.5,6762.549999999999,0.0
gemma_3_12b,minimal,29,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,3,0,0,0,0.0,0.0,0.0,1.0,4758.666666666667,5291.0,5498.9,0.0
gemma_3_12b,minimal,30,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,5,0,0,0,0.0,0.0,0.0,1.0,3319.8,3118.0,4768.0,0.0
gemma_3_12b,minimal,31,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,7,0,0,0,0.0,0.0,0.0,1.0,2618.5714285714284,2617.0,3500.999999999999,0.0
gemma_3_12b,minimal,32,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,2,0,0,0,0.0,0.0,0.0,1.0,3902.0,3902.0,5297.9,0.0
gemma_3_12b,minimal,33,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,2,0,0,0,0.0,0.0,0.0,1.0,5814.0,5814.0,8372.699999999999,0.0
gemma_3_12b,minimal,35,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,4,0,0,0,0.0,0.0,0.0,1.0,6465.5,6572.5,9152.949999999999,0.0
gemma_3_12b,minimal,36,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,2,0,0,0,0.0,0.0,0.0,1.0,2663.5,2663.5,3098.65,0.0
gemma_3_12b,minimal,37,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,6,0,0,0,0.0,0.0,0.0,1.0,2786.1666666666665,2741.5,3817.25,0.0
gemma_3_12b,minimal,38,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,2,0,0,0,0.0,0.0,0.0,1.0,4070.0,4070.0,5377.7,0.0
gemma_3_12b,minimal,39,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1,0,0,0,0.0,0.0,0.0,1.0,3869.0,3869.0,3869.0,0.0
gemma_3_12b,minimal,41,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,3,0,0,0,0.0,0.0,0.0,1.0,2662.0,2768.0,2907.5,0.0
gemma_3_12b,minimal,43,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,2,0,0,0,0.0,0.0,0.0,1.0,3809.0,3809.0,3949.4,0.0
gemma_3_12b,minimal,44,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,2,0,0,0,0.0,0.0,0.0,1.0,2836.0,2836.0,2930.5,0.0
gemma_3_12b,minimal,45,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,2,0,0,0,0.0,0.0,0.0,1.0,4305.0,4305.0,5884.5,0.0
gemma_3_12b,minimal,46,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,3,0,0,0,0.0,0.0,0.0,1.0,3056.6666666666665,2626.0,3812.2,0.0
gemma_3_12b,minimal,47,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1,0,0,0,0.0,0.0,0.0,1.0,2397.0,2397.0,2397.0,0.0
gemma_3_12b,minimal,48,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1,0,0,0,0.0,0.0,0.0,1.0,2672.0,2672.0,2672.0,0.0
