judge_model,prompt_template,judge_score,human_score,score_delta,fpr,fnr
gemma_3_12b,minimal,0.8740617180984154,0.7881567973311092,0.08590492076730616,0.47244094488188976,0.01798941798941799
gemma_3_27b,minimal,0.7891666666666667,0.7883333333333333,0.0008333333333333526,0.18503937007874016,0.048625792811839326
gemma_4_26b,minimal,0.8018471872376155,0.7926112510495382,0.009235936188077276,0.16194331983805668,0.03072033898305085
gemma_4_31b,minimal,0.8104693140794224,0.7906137184115524,0.019855595667869985,0.20689655172413793,0.02968036529680365
