judge_model,prompt_template,dataset,judge_score,human_score,score_delta,percent_agreement,scotts_pi,precision,recall,f1,tp,fp,tn,fn,fpr,fnr,invalid_rate,valid_rate,avg_latency_ms,p50_latency_ms,p95_latency_ms,total_estimated_cost
gemma_3_12b,minimal,NQ,0.865,0.7366666666666667,0.1283333333333333,0.8283333333333334,0.46185763609211133,0.8265895953757225,0.9705882352941176,0.8928199791883455,429,90,68,13,0.569620253164557,0.029411764705882353,0.0,1.0,4143.915,3126.5,10807.149999999998,0.0
gemma_3_12b,minimal,TQ,0.8831385642737897,0.8397328881469115,0.04340567612687818,0.9432387312186978,0.7622349864574578,0.943289224952741,0.9920477137176938,0.9670542635658914,499,30,66,4,0.3125,0.007952286282306162,0.0016666666666666668,0.9983333333333333,3651.7245409015027,2888.0,8033.000000000002,0.0
gemma_3_27b,minimal,NQ,0.7283333333333334,0.7366666666666667,-0.008333333333333304,0.8916666666666667,0.7235601203576708,0.931350114416476,0.920814479638009,0.926052332195677,407,30,128,35,0.189873417721519,0.07918552036199095,0.0,1.0,2061.31,2017.0,2704.5999999999995,0.0
gemma_3_27b,minimal,TQ,0.85,0.84,0.010000000000000009,0.9533333333333334,0.8218489533626012,0.9666666666666667,0.9781746031746031,0.9723865877712031,493,17,79,11,0.17708333333333334,0.021825396825396824,0.0,1.0,2138.79,2081.0,2753.3499999999995,0.0
gemma_4_26b,minimal,NQ,0.7647058823529411,0.7428571428571429,0.02184873949579824,0.9042016806722689,0.7419156003515701,0.9230769230769231,0.9502262443438914,0.9364548494983277,420,35,118,22,0.22875816993464052,0.049773755656108594,0.008333333333333333,0.9916666666666667,9099.838655462185,6664.0,19704.5,0.0
gemma_4_26b,minimal,TQ,0.8389261744966443,0.8422818791946308,-0.003355704697986517,0.9798657718120806,0.9248660573589663,0.99,0.9860557768924303,0.9880239520958083,495,5,89,7,0.05319148936170213,0.013944223107569721,0.006666666666666667,0.9933333333333333,8011.6593959731545,6469.5,14696.0,0.0
gemma_4_31b,minimal,NQ,0.7740805604203153,0.7373029772329247,0.03677758318739055,0.9036777583187391,0.7391362131765079,0.9140271493212669,0.9596199524940617,0.936268829663963,404,38,112,17,0.25333333333333335,0.040380047505938245,0.04833333333333333,0.9516666666666667,9025.40105078809,7269.0,17760.5,0.0
gemma_4_31b,minimal,TQ,0.8491620111731844,0.8472998137802608,0.0018621973929235924,0.9646182495344506,0.8625793808462351,0.9780701754385965,0.9802197802197802,0.9791437980241494,446,10,72,9,0.12195121951219512,0.01978021978021978,0.105,0.895,8330.176908752328,7320.0,14823.0,0.0
