judge_model,prompt_template,answer_length_bucket,judge_score,human_score,score_delta,percent_agreement,scotts_pi,precision,recall,f1,tp,fp,tn,fn,fpr,fnr,invalid_rate,valid_rate,avg_latency_ms,p50_latency_ms,p95_latency_ms,total_estimated_cost
llama_3_1_8b,minimal,long,0.7709677419354839,0.8,-0.029032258064516148,0.8161290322580645,0.45438545027867416,0.899581589958159,0.8669354838709677,0.8829568788501027,215,24,38,33,0.3870967741935484,0.13306451612903225,0.009584664536741214,0.9904153354632588,871.3838709677419,380.0,1423.3000000000065,0.0
llama_3_1_8b,minimal,medium,0.7313432835820896,0.8003731343283582,-0.06902985074626866,0.8078358208955224,0.4641846742142272,0.9158163265306123,0.8368298368298368,0.8745432399512789,359,33,74,70,0.308411214953271,0.16317016317016317,0.00186219739292365,0.9981378026070763,823.8768656716418,380.0,1176.5,0.0
llama_3_1_8b,minimal,short,0.7327586206896551,0.764367816091954,-0.031609195402298895,0.8074712643678161,0.4885440087743352,0.8901960784313725,0.8533834586466166,0.8714011516314779,227,28,54,39,0.34146341463414637,0.14661654135338345,0.005714285714285714,0.9942857142857143,1129.778735632184,387.5,3243.7999999999897,0.0
qwen_3_235b,minimal,long,0.7699680511182109,0.7987220447284346,-0.028753993610223683,0.8690095846645367,0.6127932413064795,0.9336099585062241,0.9,0.9164969450101832,225,16,47,25,0.25396825396825395,0.1,0.0,1.0,18219.67092651757,869.0,62389.39999999999,0.0
qwen_3_235b,minimal,medium,0.7951582867783985,0.7988826815642458,-0.003724394785847296,0.925512104283054,0.769784789505273,0.955503512880562,0.951048951048951,0.9532710280373832,408,19,89,21,0.17592592592592593,0.04895104895104895,0.0,1.0,17809.554934823092,907.0,61635.59999999999,0.0
qwen_3_235b,minimal,short,0.74,0.7628571428571429,-0.02285714285714291,0.92,0.7858485206066169,0.9613899613899614,0.9325842696629213,0.9467680608365018,249,10,73,18,0.12048192771084337,0.06741573033707865,0.0,1.0,14555.262857142858,543.5,60204.05,0.0
