judge_model,prompt_template,dataset,judge_score,human_score,score_delta,percent_agreement,scotts_pi,precision,recall,f1,tp,fp,tn,fn,fpr,fnr,invalid_rate,valid_rate,avg_latency_ms,p50_latency_ms,p95_latency_ms,total_estimated_cost
llama_3_1_8b,minimal,NQ,0.6862416107382551,0.738255033557047,-0.052013422818791955,0.7634228187919463,0.4228435442829326,0.8655256723716381,0.8045454545454546,0.833922261484099,354,55,101,86,0.3525641025641026,0.19545454545454546,0.006666666666666667,0.9933333333333333,528.3791946308725,385.0,670.75,0.0
llama_3_1_8b,minimal,TQ,0.7976588628762542,0.8411371237458194,-0.04347826086956519,0.8561872909698997,0.5140967498110355,0.9371069182389937,0.8886679920477137,0.9122448979591837,447,30,65,56,0.3157894736842105,0.11133200795228629,0.0033333333333333335,0.9966666666666667,1321.0301003344482,379.5,4753.999999999992,0.0
qwen_3_235b,minimal,NQ,0.7033333333333334,0.7366666666666667,-0.033333333333333326,0.85,0.6279761904761905,0.9170616113744076,0.8755656108597285,0.8958333333333334,387,35,123,55,0.22151898734177214,0.1244343891402715,0.0,1.0,19568.785,1543.5,66059.59999999998,0.0
qwen_3_235b,minimal,TQ,0.8416666666666667,0.84,0.0016666666666667052,0.9683333333333334,0.8816930349368771,0.9801980198019802,0.9821428571428571,0.9811694747274529,495,10,86,9,0.10416666666666667,0.017857142857142856,0.0,1.0,14365.931666666667,504.5,58854.15,0.0
