method,scotts_pi,accuracy,coverage,total_calls,total_cost,avg_latency_ms
n06_sc5_ext_confidence,0.7801454422458989,0.9133333333333333,1.0,1500,0.86312037,34417.59333333333
n07_shuffle_ext_confidence,0.7051845404388537,0.8833333333333333,1.0,658,0.6650917199999999,26116.97
