method,scotts_pi,accuracy,coverage,total_calls,total_cost,avg_latency_ms
m1_sc_n5,1.0,1.0,1.0,15,0.0223026,136745.0
m2_alias_enum,1.0,1.0,1.0,3,0.002186,10876.0
