method,scotts_pi,accuracy,coverage,total_calls,total_cost,avg_latency_ms
n01_sc5_confidence,0.7949779188531048,0.9258333333333333,1.0,6000,3.20531607,33954.06
c10_all_lite,0.769358509133403,0.9166666666666666,1.0,3600,3.4635782699999993,34518.64333333333
n05_sc3_shuffle_confidence,0.7575316724252894,0.9125,1.0,2605,2.47988319,32559.2625
m7_confidence_abstain,0.731716559302766,0.9016666666666666,1.0,1200,0.64965483,7799.145
