method,scotts_pi,accuracy,coverage,total_calls,total_cost,avg_latency_ms
c10_all_lite,0.8340307183483251,0.9425,1.0,3600,6.111800000000001,178475.775
n05_sc3_shuffle_confidence,0.7927069288824834,0.9276315789473685,1.0,2519,5.169836,82645.39309210527
