judge_model,prompt_template,judge_score,human_score,score_delta,percent_agreement,scotts_pi,precision,recall,f1,tp,fp,tn,fn,fpr,fnr,invalid_rate,valid_rate,avg_latency_ms,p50_latency_ms,p95_latency_ms,total_estimated_cost
google-gemma-4-E2B-it,guideline,0.85,0.65,0.19999999999999996,0.8,0.4666666666666668,0.7647058823529411,1.0,0.8666666666666666,13,4,3,0,0.5714285714285714,0.0,0.0,1.0,760.75,665.0,1271.4000000000005,0.0
google-gemma-4-E2B-it,guideline_with_examples,0.7,0.65,0.04999999999999993,0.75,0.4301994301994302,0.7857142857142857,0.8461538461538461,0.8148148148148148,11,3,4,2,0.42857142857142855,0.15384615384615385,0.0,1.0,726.6,634.0,1149.3500000000008,0.0
google-gemma-4-E2B-it,minimal,1.0,0.65,0.35,0.65,-0.2121212121212118,0.65,1.0,0.787878787878788,13,7,0,0,1.0,0.0,0.0,1.0,735.35,669.0,1131.0,0.0
